"id","accession_no","seed_id","type","gb_user_id","gv_weight","gv_packet","mr_weight","mr_packet","r_weight","r_packet","b_location_1","b_location_2","us_weight","us_packet","us_location","d_weight","d_packet","d_location_1","d_location_2","c_weight","c_packet","c_location","packing_date","transfer_date"
"463","BTNC463","892","passport","1","80","1","80","1","190","1",,,"60","2","A3T6C3","80","2","D2T1C3",,"80","1","B1R3C1","03-Aug-06","03-Aug-06"
"464","BTNC464","796","passport","1","60","1","60","1","108","1","B2R3C1",,"360","2","A3T6C3","60","2","D2T1C3",,"20","1","B1R3C1","03-Aug-06","03-Aug-06"
"465","BTNC465","256","passport","1","50","1","50","1","76","1","B2R3C1",,"240","2","A3T6C3","50","2","D2T1C3",,"50","1","B1R3C1","03-Aug-06","03-Aug-06"
"466","BTNC466","805","passport","1","60","1","60","1","225","1","B2R3C1",,"360","2","A3T6C3","120","2","D2T1C3",,"-8","1","B1R3C1","03-Aug-06","03-Aug-06"
"467","BTNC467","1136","passport","1","50","1","50","1","97","1","B2R3C1",,"240","2","A3T7C1","50","2","D2T1C3",,"50","1","B1R3C1","03-Aug-06","03-Aug-06"
"468","BTNC468","448","passport","1","50","1","50","1","117","1","B2R3C1",,"240","2","A3T7C1","50","2","D2T1C3",,"10","1","B1R3C1","03-Aug-06","03-Aug-06"
"469","BTNC469","909","passport","1","60","1","60","1","154","1","B2R3C1",,"400","2","A3T7C1","120","2","D2T1C3",,"60","1","B1R3C1","03-Aug-06","03-Aug-06"
"470","BTNC470","1061","passport","1","50","1","50","1","101","1","B2R3C2",,"240","2","A3T7C1","50","2","D2T1C3",,"50","1","B1R3C1","03-Aug-06","03-Aug-06"
"471","BTNC471","131","passport","1","50","1","50","1","84","1","B2R3C2",,"240","2","A3T7C1","100","2","D2T1C3",,"50","1","B1R3C1","03-Sep-06","03-Sep-06"
"472","BTNC472","1123","passport","1","40","1","40","1","111","1","B2R3C2",,"240","2","A3T7C1","40","2","D2T1C3",,"40","1","B1R3C1","03-Sep-06","03-Sep-06"
"473","BTNC473","125","passport","1","30","1","30","1","33","1","B2R3C2",,"200","2","A3T7C1","60","2","D2T1C3",,"30","1","B1R3C1","03-Sep-06","03-Sep-06"
"474","BTNC474","1102","passport","1","40","1","40","1","53","1","B2R3C2",,"240","2","A4T1C1","40","2","D2T1C3",,"40","1","B1R3C1","03-Sep-06","03-Sep-06"
"475","BTNC475","346","passport","1","50","1","50","1","89","1","B2R3C2",,"240","2","A4T1C1","100","2","D2T1C3",,"50","1","B1R3C1","03-Sep-06","03-Sep-06"
"476","BTNC476","1262","passport","1","40","1","40","1","112","1","B2R3C2",,"240","2","A4T1C1","40","2","D2T1C3",,"70","1","B1R3C1","03-Sep-06","03-Sep-06"
"477","BTNC477","415","passport","1","90","1","90","1","200","1","B2R3C2",,"240","2","A4T1C1","90","2","D2T1C3",,"50","1","B1R3C1","03-Sep-06","03-Sep-06"
"478","BTNC478","961","passport","1","90","1","90","1","128","1","B2R3C2",,"620","2","A4T1C1","90","2","D2T1C3",,"10","1","B1R3C1","03-Sep-06","03-Sep-06"
"479","BTNC479","303","passport","1","60","1","60","1","132","1","B2R3C2",,"320","2","A4T1C1","120","2","D2T1C3",,"20","1","B1R3C1","03-Sep-06","03-Sep-06"
"480","BTNC480","1073","passport","1","50","1","50","1","132","1","B2R3C2",,"620","2","A4T1C2","50","2","D2T1C3",,"30","1","B1R3C1","03-Sep-06","03-Sep-06"
"481","BTNC481","1088","passport","1","50","1","50","1","190","1","B2R3C2",,"320","2","A4T1C2","50","2","D2T1C3",,"50","1","B1R3C1","03-Sep-06","03-Sep-06"
"482","BTNC482","12","passport","1","50","1","50","1","183","1","B2R3C3",,"450","2","A4T1C2","50","2","D2T1C3",,"20","1","B1R3C1","03-Oct-06","03-Oct-06"
"483","BTNC483","694","passport","1","70","1","70","1","146","1","B2R3C3",,"28","2","A4T1C2","140","2","D2T1C3",,"70","1","B1R3C1","03-Oct-06","03-Oct-06"
"484","BTNC484","1034","passport","1","40","1","40","1","34","1","B2R3C3",,"240","2","A4T1C2","80","2","D2T2C1",,"40","1","B1R3C1","03-Oct-06","03-Oct-06"
"485","BTNC485","1111","passport","1","40","1","40","1","15","1","B2R3C3",,"200","2","A4T1C2","40","2","D2T2C1",,"40","1","B1R3C2","03-Oct-06","03-Oct-06"
"486","BTNC486","1144","passport","1","50","1","50","1","28","1","B2R3C3",,"240","2","A4T1C3","50","2","D2T2C1",,"50","1","B1R3C2","03-Oct-06","03-Oct-06"
"487","BTNC487","816","passport","1","100","1","100","1","160","1","B2R3C3",,"400","2","A4T1C3","200","2","D2T2C1",,"100","1","B1R3C2","03-Oct-06","03-Oct-06"
"488","BTNC488","1281","passport","1","60","1","60","1","35","1","B2R3C3",,"250","2","A4T1C3","120","2","D2T2C1",,"35","1","B1R3C2","03-Oct-06","03-Oct-06"
"489","BTNC489","788","passport","1","70","1","70","1","63","1","B2R3C3",,"320","2","A4T1C3","140","2","D2T2C1",,"70","1","B1R3C2","13-Mar-06","13-Mar-06"
"490","BTNC490","888","passport","1","78","1","78","1","27","1",,,"320","2","A4T1C3","70","2","D2T2C1",,"50","1","B1R3C2","13-Mar-06","13-Mar-06"
"491","BTNC491","948","passport","1","44","1","44","1","88","1",,,"240","2","A4T1C3","40","2","D2T2C1",,"-4","1","B1R3C2","13-Mar-06","13-Mar-06"
"492","BTNL492","911","passport","1","80","1","80","1","99","1","B2R3C3",,"320","2","A4T1C3","80","2","D2T2C1",,"80","1","B1R3C2","15-Mar-06","15-Mar-06"
"493","BTNL493","497","passport","1","30","1","30","1","15","1","B2R3C3",,"110","2","A4T2C1","30","2","D2T2C1",,"30","1","B1R3C2","15-Mar-06","15-Mar-06"
"494","BTNL494","875","passport","1","40","1","40","1","22","1","B2R3C4",,"240","2","A4T2C1","40","2","D2T2C1",,"40","1","B1R3C2","15-Mar-06","15-Mar-06"
"495","BTNL495","20","passport","1","30","1","30","1","49","1","B2R3C4",,"240","2","A4T2C1","60","2","D2T2C1",,"30","1","B1R3C2","15-Mar-06","15-Mar-06"
"496","BTNC496","489","passport","1","70","1","70","1","210","1","B2R3C4",,"400","2","A4T2C1","140","2","D2T2C1",,"70","1","B1R3C2","15-Mar-06","15-Mar-06"
"497","BTNC497","336","passport","1","80","1","80","1","79","1","B2R3C4",,"400","2","A4T2C1","80","2","D2T2C1",,"80","1","B1R3C2","17-Mar-05","17-Mar-05"
"498","BTNC498","1168","passport","1","40","1","40","1","46","1","B2R3C4",,"280","2","A4T2C2","40","2","D2T2C1",,"35","1","B1R3C2","17-Mar-06","17-Mar-06"
"499","BTNC499","16","passport","1","90","1","90","1","147","1","B2R3C4",,"400","2","A4T2C2","180","2","D2T2C1",,"85","1","B1R3C2","17-Mar-06","17-Mar-06"
"500","BTNC500","411","passport","1","50","1","50","1","18","1","B2R3C4",,"200","2","A4T2C2","50","2","D2T2C1",,"50","1","B1R3C2","17-Mar-06","17-Mar-06"
"501","BTNC501","758","passport","1","100","1","100","1","180","1","B2R3C4",,"400","2","A4T2C2","200","2","D2T2C1",,"100","1","B1R3C2","20-Mar-06","20-Mar-06"
"502","BTNC502","1221","passport","1","100","1","100","1","198","1","B2R3C4",,"400","2","A4T2C2","200","2","D2T2C1",,"100","1","B1R3C2","20-Mar-06","20-Mar-06"
"503","BTNC503","960","passport","1","100","1","100","1","36","1","B2R3C4",,"400","2","A4T2C2","200","2","D2T2C1",,"95","1","B1R3C2","20-Mar-06","20-Mar-06"
"504","BTNC504","104","passport","1","50","1","50","1","159","1","B2R3C4",,"240","2","A4T2C2","100","2","D2T2C1",,"50","1","B1R3C2","20-Mar-06","20-Mar-06"
"505","BTNC505","7","passport","1","60","1","60","1","92","1","B2R3C4",,"400","2","A4T2C3","60","2","D2T2C1",,"60","1","B1R3C2","20-Mar-06","20-Mar-06"
"506","BTNC506","744","passport","1","50","1","50","1","168","1","B2R3C5",,"360","2","A4T2C3","100","2","D2T2C1",,"50","1","B1R3C2","20-Mar-06","20-Mar-06"
"507","BTNO507","908","passport","1","60","1","60","1","156","1","B2R3C5",,"400","2","A4T2C3","60","2","D2T2C2",,"60","1","B1R3C2","20-Mar-06","20-Mar-06"
"508","BTNC508","751","passport","1","80","1","80","1","119","1","B2R3C5",,"400","2","A4T2C3","80","2","D2T2C2",,"80","1","B1R3C2","22-Mar-06","22-Mar-06"
"509","BTNC509","841","passport","1","80","1","80","1","152","1","B2R3C5",,"400","2","A4T2C3","80","2","D2T2C2",,"75","1","B1R3C2","22-Mar-06","22-Mar-06"
"510","BTNC510","1283","passport","1","40","1","40","1","81","1","B2R3C5",,"360","2","A4T3C1","40","2","D2T2C2",,"40","1","B1R3C2","22-Mar-06","22-Mar-06"
"511","BTNC511","1187","passport","1","100","1","100","1","165","1","B2R3C5",,"400","2","A4T3C1","200","2","D2T2C2",,"100","1","B1R3C2","23-Mar-06","23-Mar-06"
"512","BTNC512","985","passport","1","40","1","40","1","105","1","B2R3C5",,"320","2","A4T3C1","40","2","D2T2C2",,"35","1","B1R3C2","23-Mar-06","23-Mar-06"
"513","BTNC513","310","passport","1","40","1","40","1","86","1","B2R3C5",,"240","2","A4T3C1","40","2","D2T2C2",,"40","1","B1R3C2","23-Mar-06","23-Mar-06"
"514","BTNC514","1147","passport","1","100","1","100","1","207","1","B2R3C5",,"400","2","A4T3C1","200","2","D2T2C2",,"95","1","B1R3C2","23-Mar-06","23-Mar-06"
"515","BTNC515","996","passport","1","60","1","60","1","116","1","B2R3C5",,"280","2","A4T3C1","60","2","D2T2C2",,"60","1","B1R3C2","23-Mar-06","23-Mar-06"
"516","BTNC516","1252","passport","1","50","1","50","1","43","1","B2R3C5",,"240","2","A4T3C2","50","2","D2T2C2",,"45","1","B1R3C3","24-Mar-06","24-Mar-06"
"517","BTNC517","1100","passport","1","30","1","30","1","16","1","B2R3C6",,"240","2","A4T3C2","30","2","D2T2C2",,"30","1","B1R3C3","24-Mar-06","24-Mar-06"
"518","BTNC518","1120","passport","1","30","1","30","1","15","1","B2R3C6",,"240","2","A4T3C2","30","2","D2T2C2",,"30","1","B1R3C3","24-Mar-06","24-Mar-06"
"519","BTNC519","387","passport","1","40","1","40","1","30","1","B2R3C6",,"200","2","A4T3C2","40","2","D2T2C2",,"40","1","B1R3C3","24-Mar-06","24-Mar-06"
"520","BTNC520","1085","passport","1","30","1","30","1","55","1","B2R3C6",,"160","2","A4T3C2","40","2","D2T2C2",,"60","1","B1R3C3","24-Mar-06","24-Mar-06"
"521","BTNO521","542","passport","1","30","1","30","1","81","1","B2R3C6",,"200","2","A4T3C2","40","2","D2T2C2",,"30","1","B1R3C3","27-Mar-06","27-Mar-06"
"522","BTNO522","1167","passport","1","69","1","60","1","99","1","B2R3C6",,"240","2","A4T3C2","60","2","D2T2C2",,"60","1","B1R3C3","27-Mar-06","27-Mar-06"
"523","BTNC523","702","passport","1","100","1","100","1","180","1","B2R3C6",,"390","2","A4T3C2","180","2","D2T2C2",,"80","1","B1R3C3","27-Mar-06","27-Mar-06"
"524","BTNC524","682","passport","1","90","1","90","1","71","1","B2R3C6",,"62","2","A4T3C3","180","2","D2T2C2",,"90","1","B1R3C3","27-Oct-07","27-Oct-07"
"525","BTNC525","1645","passport","1","200","1","150","1","239","1","B2R3C6",,"73","2","A4T3C3","200","2","D2T2C2",,"120","1","B1R3C3","10-Apr-07","10-Apr-07"
"526","BTNC526","1470","passport","1","50","1","50","1","31","1","B2R3C6",,"-7","2","A4T3C3","80","2","D2T2C2",,"-50","1","B1R3C3","10-Aug-07","10-Aug-07"
"527","BTNC527","1399","passport","1","50","1","50","1","150","1","B2R3C6",,"50","2","A4T3C3","50","2","D2T2C3",,"50","1","B1R3C3","17-Oct-07","17-Oct-07"
"528","BTNC528","1288","passport","1","100","1","100","1","88","1","B2R3C7",,"80","2","A4T3C3","100","2","D2T2C3",,"100","1","B1R3C3","12-Jun-07","12-Jun-07"
"529","BTNC529","1818","passport","1","100","1","125","1","131","1","B2R3C7",,"47","2","A4T3C3","200","2","D2T2C3",,"100","1","B1R3C3","12-Jun-07","12-Jun-07"
"530","BTNC530","1518","passport","1","90","1","90","1","235","1","B2R3C7",,"64","2","A4T3C3","90","2","D2T2C3",,"90","1","B1R3C3","12-Jun-07","12-Jun-07"
"531","BTNC531","1819","passport","1","60","1","200","1","141","1","B2R3C7",,"200","2","A4T3C3","90","2","D2T2C3",,"60","1","B1R3C3","12-Jun-07","12-Jun-07"
"532","BTNC532","1640","passport","1","250","1","250","1","300","1","B2R3C7",,"346","2","A4T3C3, A4T4C1","250","2","D2T2C3",,"150","1","B1R3C3","12-Jun-07","12-Jun-07"
"533","BTNC533","1372","passport","1","100","1","100","1","125","1","B2R3C7",,"100","2","A4T4C1","100","2","D2T2C3",,"100","1","B1R3C3","12-Jul-07","12-Jul-07"
"534","BTNC534","715","passport","1","50","1","50","1","154","1","B2R3C8",,"50","2","A4T4C1","50","2","D2T2C3",,"-50","1","B1R3C3","12-Jul-06","12-Jul-06"
"535","BTNC535","103","passport","1","100","1","50","1","200","1","B2R3C8",,"100","2","A4T4C1","50","2","D2T2C3",,"50","1","B1R3C3","12-Jul-07","12-Jul-07"
"536","BTNC536","1321","passport","1","100","1","50","1","52","1","B2R3C8",,"200","2","A4T4C1","100","2","D2T2C3",,"50","1","B1R3C3","12-Jul-07","12-Jul-07"
"537","BTNC537","1365","passport","1","50","1","50","1","138","1","B2R3C8",,"50","2","A4T4C1","50","2","D2T2C3",,"50","1","B1R3C3","12-Jul-07","12-Jul-07"
"538","BTNC538","937","passport","1","40","1","40","1","215","1","B2R3C8",,"100","2","A4T4C1","40","2","D2T2C3",,"30","1","B1R3C3","12-Oct-07","12-Oct-07"
"539","BTNC539","1350","passport","1","150","1","220","1","134","1","B2R3C8",,"220","2","A4T4C1","160","2","D2T2C3",,"220","1","B1R3C3","12-Oct-07","12-Oct-07"
"540","BTNC540","1108","passport","1","40","1","40","1","165","1","B2R3C8",,"32","2","A4T4C2","40","2","D2T2C3",,"40","1","B1R3C3","12-Oct-07","12-Oct-07"
"541","BTNC541","1503","passport","1","30","1","30","1","90","1","B2R3C8",,"11","2","A4T4C2","30","2","D2T2C3",,"30","1","B1R3C3","07-Sep-08","07-Sep-08"
"542","BTNC542","1313","passport","1","60","1","60","1","162","1","B2R3C9",,"123","2","A4T4C2","60","2","D2T3C1",,"60","1","B1R3C3","12-Oct-07","12-Oct-07"
"543","BTNC543","40","passport","1","50","1","50","1","79","1","B2R3C9",,"9","2","A4T4C2","50","2","D2T3C1",,"50","1","B1R3C3","12-Nov-07","12-Nov-07"
"544","BTNC544","1358","passport","1","125","1","125","1","251","1","B2R3C9",,"95","2","A4T4C2","100","2","D2T3C1",,"125","1","B1R3C4","12-Nov-07","12-Nov-07"
"545","BTNC545","1593","passport","1","50","1","50","1","102","1","B2R3C9",,"50","2","A4T4C2","50","2","D2T3C1",,"50","1","B1R3C4","12-Nov-07","12-Nov-07"
"546","BTNC546","1444","passport","1","50","1","50","1","75","1","B2R3C9",,"50","2","A4T4C2","30","2","D2T3C1",,"40","1","B1R4C4","12-Nov-07","12-Nov-07"
"547","BTNC547","1626","passport","1","150","1","150","1","398","1","B2R3C9",,"200","2","A4T4C2","150","2","D2T3C1",,"150","1","B1R3C4","12-Nov-07","12-Nov-07"
"548","BTNC548","325","passport","1","130","1","130","1","159","1","B2R3C9",,"147","2","A4T4C3","130","2","D2T3C1",,"130","1","B1R3C4","12-Dec-07","12-Dec-07"
"549","BTNC549","1487","passport","1","130","1","130","1","124","1","B2R3C9",,"125","2","A4T4C3","150","2","D2T3C1",,"120","1","B1R3C4","12-Dec-07","12-Dec-07"
"550","BTNC550","1678","passport","1","80","1","80","1","269","1","B3R1C1",,"153","2","A4T4C3","80","2","D2T3C1",,"89","1","B1R3C4","12-Dec-07","12-Dec-07"
"551","BTNC551","1598","passport","1","60","1","60","1","177","1","B3R1C1",,"130","2","A4T4C3","60","2","D2T3C1",,"60","1","B1R3C4","12-Dec-07","12-Dec-07"
"552","BTNC552","1500","passport","1","120","1","120","1","110","1","B3R1C1",,"160","2","A4T4C3","120","2","D2T3C1",,"110","1","B1R3C4","19-Dec-07","19-Dec-07"
"553","BTNC553","1601","passport","1","120","1","120","1","206","1","B3R1C1",,"60","2","A4T4C3","50","2","D2T3C1",,"50","1","B1R3C4","19-Dec-07","19-Dec-07"
"554","BTNC554","1606","passport","1","40","1","40","1","106","1","B3R1C1",,"40","2","A4T4C3","40","2","D2T3C1",,"40","1","B1R3C4","19-Dec-07","19-Dec-07"
"555","BTNC555","1592","passport","1","80","1","80","1","234","1","B3R1C1",,"140","2","A4T4C3","80","2","D2T3C1",,"80","1","B1R3C4","21-Dec-07","21-Dec-07"
"556","BTNC556","1589","passport","1","100","1","100","1","276","1","B3R1C1",,"160","2","A4T4C3","80","2","D2T3C1",,"80","1","B1R3C4","21-Dec-07","21-Dec-07"
"557","BTNC557","1377","passport","1","60","1","60","1","207","1","B3R1C2",,"160","2","A4T5C1","60","2","D2T3C1",,"60","1","B1R3C4","21-Dec-07","21-Dec-07"
"558","BTNC558","1337","passport","1","100","1","100","1","177","1","B3R1C2",,"100","2","A4T5C1","100","2","D2T3C1",,"100","1","B1R3C4","21-Dec-07","21-Dec-07"
"559","BTNC559","1603","passport","1","50","1","50","1","198","1","B3R1C2",,"80","2","A4T5C1","50","2","D2T3C2",,"50","1","B1R3C4","24-Dec-07","24-Dec-07"
"560","BTNC560","1409","passport","1","60","1","60","1","201","1","B3R1C2",,"180","2","A4T5C1","80","2","D2T3C2",,"50","1","B1R3C4","24-Dec-07","24-Dec-07"
"561","BTNC561","1596","passport","1","40","1","40","1","159","1","B3R1C2",,"80","2","A4T5C1","40","2","D2T3C2",,"40","1","B1R3C4","24-Dec-07","24-Dec-07"
"562","BTNC562","1594","passport","1","40","1","40","1","111","1","B3R1C2",,"90","2","A4T5C1","60","2","D2T3C2",,"40","1","B1R3C4","24-Dec-07","24-Dec-07"
"563","BTNC563","1698","passport","1","50","1","50","1","85","1","B3R1C2",,"100","2","A4T5C1","90","2","D2T3C2",,"50","1","B1R3C4","25-Dec-07","25-Dec-07"
"564","BTNC564","1456","passport","1","40","1","40","1","138","1","B3R1C2",,"11","2","A4T5C1","50","2","D2T3C2",,"30","1","B1R3C4","25-Dec-07","25-Dec-07"
"565","BTNC565","1449","passport","1","30","1","30","1","87","1","B3R1C3",,"20","2","A4T5C1","30","2","D2T3C2",,"20","1","B1R3C4","25-Dec-07","25-Dec-07"
"566","BTNC566","1599","passport","1","120","1","120","1","105","1","B3R1C3",,"91","2","A4T5C2","120","2","D2T3C2",,"120","1","B1R3C4","25-Dec-07","25-Dec-07"
"567","BTNC567","1602","passport","1","100","1","100","1","131","1","B3R1C3",,"111","2","A4T4C2","100","2","D2T3C2",,"100","1","B1R3C4","25-Dec-07","25-Dec-07"
"568","BTNC568","1584","passport","1","100","1","100","1","299","1","B3R1C3",,"100","2","A4T5C2","100","2","D2T3C2",,"100","1","B1R3C4","28-Dec-07","28-Dec-07"
"569","BTNC569","1604","passport","1","130","1","100","1","340","1","B3R1C3",,"132","2","A4T5C2","100","2","D2T3C2",,"20","1","B1R3C4","28-Dec-07","28-Dec-07"
"570","BTNC570","1781","passport","1","80","1","80","1","409","1","B3R1C3",,"200","2","A4T5C2","100","2","D2T3C2",,"70","1","B1R3C4","28-Dec-07","28-Dec-07"
"571","BTNC571","1689","passport","1","150","1","150","1","103","1","B3R1C3",,"240","2","A4T5C2","150","2","D2T3C2",,"90","1","B1R3C4","27-Dec-07","27-Dec-07"
"572","BTNC572","1750","passport","1","120","1","120","1","112","1","B3R1C3",,"105","2","A4T5C2","100","2","D2T3C2",,"120","1","B1R3C5","28-Dec-07","28-Dec-07"
"573","BTNC573","1582","passport","1","100","1","100","1","158","1","B3R1C4",,"100","2","A4T5C3","100","2","D2T3C2",,"100","1","B1R3C5","28-Dec-07","28-Dec-07"
"574","BTNC574","1773","passport","1","60","1","60","1","184","1","B3R1C4",,"110","2","A4T5C3","60","2","D2T3C2",,"60","1","B1R3C5","31-Dec-07","31-Dec-07"
"575","BTNC575","1764","passport","1","70","1","70","1","231","1","B3R1C4",,"130","2","A4T5C3","80","2","D2T3C2",,"70","1","B1R3C5","31-Dec-07","31-Dec-07"
"576","BTNC576","1788","passport","1","40","1","40","1","207","1","B3R1C4",,"140","2","A4T5C3","40","2","D2T3C2",,"30","1","B1R3C5","31-Dec-07","31-Dec-07"
"577","BTNC577","1600","passport","1","40","1","40","1","118","1","B3R1C4",,"80","2","A4T5C3","40","2","D2T3C3",,"40","1","B1R3C5","31-Dec-07","31-Dec-07"
"578","BTNC578","1668","passport","1","120","1","120","1","237","1","B3R1C4",,"240","2","A4T5C3","120","2","D2T3C3",,"110","1","B1R3C5","22-Mar-07","22-Mar-07"
"579","BTNC579","1583","passport","1","80","1","80","1","141","1","B3R1C4",,"130","2","A4T5C3","80","2","D2T3C3",,"80","1","B1R3C5","31-Dec-07","31-Dec-07"
"580","BTNC580","1591","passport","1","80","1","80","1","235","1","B3R1C4",,"150","2","A4T5C3","80","1","D2T3C3",,"80","1","B1R3C5","31-Dec-07","31-Dec-07"
"581","BTNC581","1585","passport","1","40","1","40","1","196","1","B3R1C5",,"140","2","A4T5C3","40","2","D2T3C3",,"40","1","B1R3C5","01-Jan-08","01-Jan-08"
"582","BTNC582","1587","passport","1","50","1","50","1","105","1","B3R1C5",,"54","2","A4T6C1","50","2","D2T3C3",,"50","1","B1R3C5","01-Jan-08","01-Jan-08"
"583","BTNC583","1420","passport","1","40","1","40","1","127","1","B3R1C5",,"-13","2","A4T6C1","40","2","D2T3C3",,"35","1","B1R3C5","01-Jan-08","01-Jan-08"
"584","BTNC584","1799","passport","1","90","1","90","1","313","1","B3R1C5",,"121","2","A4T6C1","150","2","D2T3C3",,"90","1","B1R3C5","01-Jan-08","01-Jan-08"
"585","BTNL585","1635","passport","1","80","1","80","1","102","1","B3R1C5",,"160","2","A4T6C1","80","2","D2T3C3",,"80","1","B1R3C5","01-Mar-08","01-Mar-08"
"586","BTNL586","1822","passport","1","70","1","70","1","150","1","B3R1C5",,"130","2","A4T6C1","70","2","D2T3C3",,"70","1","B1R3C5","01-Mar-08","01-Mar-08"
"587","BTNL587","496","passport","1","40","1","40","1","155","1","B3R1C5",,"100","2","A4T6C1","40","2","D2T3C3",,"40","1","B1R3C5","01-Mar-08","01-Mar-08"
"588","BTNL588","1494","passport","1","40","1","40","1","132","1","B3R1C6",,"60","2","A4T6C1","40","1","D2T3C3",,"40","1","B1R3C5","01-Mar-08","01-Mar-08"
"589","BTNL589","1513","passport","1","40","1","40","1","102","1","B3R1C6",,"50","2","A4T6C1","40","2","D2T3C3",,"40","1","B1R3C5","01-Mar-08","01-Mar-08"
"590","BTNL590","273","passport","1","30","1","30","1","52","1","B3R1C6",,"40","2","A4T6C1","40","2","D2T3C3",,"40","1","B1R3C5","03-Jan-08","03-Jan-08"
"591","BTNL591","1512","passport","1","30","1","30","1","202","1","B3R1C6",,"100","2","A4T6C2","60","1","D2T3C3",,"60","1","B1R3C5","03-Jan-08","03-Jan-08"
"592","BTNL592","901","passport","1","100","1","100","1","300","1","B3R1C6",,"160","2","A4T6C2","100","2","D2T3C3",,"60","1","B1R3C5","03-Jan-08","03-Jan-08"
"593","BTNL593","160","passport","1","40","1","40","1","145","1","B3R1C6",,"80","2","A4T6C2","40","2","D2T3C3",,"40","1","B1R3C5","03-Jan-08","03-Jan-08"
"594","BTNL594","1506","passport","1","40","1","40","1","52","1","B3R1C6",,"80","2","A4T6C2","40","2","D2T3C3",,"40","1","B1R3C5","03-Jan-08","03-Jan-08"
"595","BTNL595","1808","passport","1","100","1","100","1","315","1","B3R1C6",,"100","2","A4T6C2","100","2","D2T3C3",,"100","1","B1R3C5","04-Jan-08","04-Jan-08"
"596","BTNL596","163","passport","1","30","1","30","1","157","1","B3R1C6",,"40","2","A4T6C2","30","2","D2T3C3",,"30","1","B1R3C5","01-Apr-08","01-Apr-08"
"597","BTNL597","940","passport","1","80","1","80","1","372","1","B3R1C7",,"80","2","A4T6C2","80","2","D2T3C3",,"80","1","B1R3C5","01-Apr-08","01-Apr-08"
"598","BTNL598","31","passport","1","30","1","30","1","342","1","B3R1C7",,"40","2","A4TCC2","30","2","D2T4C1",,"30","1","B1R3C5","01-Jul-08","01-Jul-08"
"599","BTNL599","92","passport","1","40","1","40","1","331","1","B3R1C7",,"50","2","A4T6C2","40","2","D2T4C1",,"40","1","B1R3C5","01-Jul-08","01-Jul-08"
"600","BTNL600","161","passport","1","50","1","50","1","177","1","B3R1C7",,"50","2","A4T6C2","50","2","D2T4C1",,"50","1","B1R3C5","01-Jul-08","01-Jul-08"
"601","BTNL601","77","passport","1","40","1","40","1","170","1","B3R1C7",,"40","2","A4T6C3","40","2","D2T4C1",,"40","1","B1R3C6","03-Apr-08","03-Apr-08"
"602","BTNL602","86","passport","1","30","1","30","1","166","1","B3R1C7",,"40","2","A4T6C3","30","2","D2T4C1",,"30","1","B1R3C6","03-Apr-08","03-Apr-08"
"603","BTNC603","103","passport","1","40","1","40","1","208","1","B3R1C7",,"60","2","A4T6C3","50","2","D2T4C1",,"40","1","B1R3C6","03-May-08","03-May-08"
"604","BTNL604","1028","passport","1","60","1","60","1","135","1","B3R1C7",,"100","2","A4T6C3","60","2","D2T4C1",,"60","1","B1R3C6","03-May-08","03-May-08"
"605","BTNL605","101","passport","1","70","1","70","1","253","1","B3R1C8",,"110","2","A4T6C3","100","2","D2T4C1",,"70","1","B1R3C6","03-May-08","03-May-08"
"606","BTNL606","1012","passport","1","40","1","40","1","186","1","B3R1C8",,"90","2","A4T6C3","80","2","D2T4C1",,"40","1","B1R3C6","03-May-08","03-May-08"
"607","BTNL607","1057","passport","1","90","1","90","1","300","1","B3R1C8",,"100","2","A4T6C3","90","2","D2T4C1",,"70","1","B1R3C6","03-May-08","03-May-08"
"608","BTNL608","1198","passport","1","50","1","50","1","201","1","B3R1C8",,"100","2","A4T6C3","50","2","D2T4C1",,"50","1","B1R3C6","03-Jun-08","03-Jun-08"
"609","BTNL609","1227","passport","1","40","1","40","1","143","1","B3R1C8",,"120","2","A4T6C3","80","2","D2T4C1",,"40","1","B1R3C6","03-Jun-08","03-Jun-08"
"610","BTNL610","1125","passport","1","30","1","30","1","111","1","B3R1C8",,"50","2","A4T6C3","60","2","D2T4C1",,"30","1","B1R3C6","03-Jun-08","03-Jun-08"
"611","BTNL611","1124","passport","1","30","1","30","1","134","1","B3R1C8",,"70","2","A4T6C3","30","2","D2T4C1",,"30","1","B3R1C6","03-Jun-08","03-Jun-08"
"612","BTNL612","1429","passport","1","100","1","100","1","170","1","B3R1C8",,"150","2","A4T7C1","80","2","D2T4C1",,"100","1","B1R3C6","03-Jun-08","03-Jun-08"
"613","BTNC613","1000","passport","1","90","1","90","1","236","1","B3R1C8",,"150","2","A4T7C1","90","2","D2T4C1",,"60","1","B1R3C6","03-Oct-08","03-Oct-08"
"614","BTNC614","1303","passport","1","100","1","100","1","290","1","B3R2C1",,"150","2","A4T7C1","100","2","D2T4C1",,"70","1","B1R3C6","03-Oct-08","03-Oct-08"
"615","BTNC615","1452","passport","1","120","1","120","1","77","1","B3R2C1",,"80","2","A4T7C1","70","2","D2T4C1",,"90","1","B1R3C6","03-Oct-08","03-Oct-08"
"616","BTNC616","1797","passport","1","80","1","80","1","189","1","B3R2C1",,"150","2","A4T7C1","130","2","D2T4C1",,"50","1","B1R3C6","03-Oct-08","03-Oct-08"
"617","BTNC617","1370","passport","1","122.5","1","130","1","267","1","B3R2C1",,"150","2","A4T7C1","130","2","D2T4C1",,"100","1","B1R3C6","03-Oct-08","03-Oct-08"
